"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"7893948",0.0337435175668839,9.10166992621725,1.2545599245482,0.210570169434136,0.329017124901381,-6.44802586416606
"8161458",0.0442597440885259,5.11478372867093,1.25440098200064,0.21062782935242,0.329070128772683,-6.44822386648994
"7893088",-0.113338893734172,4.21488476700639,-1.25439069183654,0.210631562732175,0.329070128772683,-6.44823668458294
"7964142",0.0266392350636009,3.20402078402236,1.25438468964386,0.210633740413016,0.329070128772683,-6.44824416125365
"7959696",0.0165694550742769,3.50244776429712,1.25434168177111,0.210649344759492,0.329079066925815,-6.44829773325697
"7895151",0.0919040050336071,2.15074374283067,1.25411467398933,0.210731722860846,0.329168760445145,-6.44858047139379
"7936050",0.0219035100690843,3.13383962966454,1.25408163822286,0.210743713052124,0.329168760445145,-6.44862161321003
"8067199",-0.0307901780545031,3.45940435089776,-1.25407786434545,0.210745082796476,0.329168760445145,-6.44862631302274
"7942812",-0.0328608315746924,3.83670466717252,-1.25407450380247,0.21074630252484,0.329168760445145,-6.44863049807608
"8058182",-0.0284177392084575,6.98436627484984,-1.25398475413501,0.210778879580263,0.329204200637179,-6.44874226374632
"8021442",0.0241774328522759,8.88057790085304,1.25394438943486,0.210793532226872,0.329211643647193,-6.44879252750985
"8093035",0.02712829522117,4.42459902079553,1.25378909694296,0.210849911306493,0.329284250118301,-6.44898588909057
"8115302",-0.0257913834740777,3.24762224019489,-1.25364994340804,0.210900440432476,0.329347714336373,-6.44915913519831
"8119490",-0.0168046646405368,2.34621156494569,-1.25358818436429,0.210922869060145,0.329367292177257,-6.44923601908922
"7946972",0.0189614241386671,2.86371460723962,1.25354064269774,0.210940135636738,0.329378807742284,-6.44929520119978
"8086536",-0.0223688603746678,2.64513497826198,-1.25347864360314,0.210962654525131,0.329398523222663,-6.44937237726071
"8034315",-0.0306880219637343,4.46571164594888,-1.2530793991772,0.211107707210926,0.329604209987656,-6.44986926354854
"8109049",0.0183623354125543,2.32755771293291,1.25304146015003,0.211121494911863,0.329604209987656,-6.44991647304233
"8109305",-0.0242313639272176,7.10056553058786,-1.25301098139444,0.211132571894575,0.329604209987656,-6.44995439830919
"8031277",-0.0247640338062064,3.95652499044728,-1.25300710183329,0.211133981885056,0.329604209987656,-6.44995922565181
"8146660",-0.0316479256025257,2.90590056502556,-1.25291664626639,0.211166859060473,0.32964007998765,-6.45007177542765
"7952290",0.0248398495712032,4.039555494623,1.25282217917401,0.21120119824426,0.329678228772168,-6.45018930797618
"8170013",0.065217299202102,4.02516313920447,1.25272283115882,0.211237316040746,0.329702355134754,-6.45031290372757
"8175317",0.065217299202102,4.02516313920447,1.25272283115882,0.211237316040746,0.329702355134754,-6.45031290372757
